BatchID,WaferID,MachineID,Die_X,Die_Y,Result,DefectType
BATCH_A1,W_1,AMAT_DEP_02,-3.11,-6.47,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.58,3.73,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.98,-5.87,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,2.37,-1.23,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.11,-1.69,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.61,-0.68,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.95,1.3,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.63,-4.66,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.76,2.6,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.55,7.41,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.54,-0.1,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.8,4.6,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.65,5.33,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.58,3.94,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.12,-3.93,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.7,-0.35,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,-0.02,-1.28,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.35,-4.7,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-2.56,3.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.42,-0.82,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.63,-0.76,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.7,-5.2,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.63,2.56,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.89,3.73,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.86,5.46,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.74,7.03,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-3.3,5.7,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.65,-6.36,1,None
