ShipmentID,ShipmentDate,PlannedDeliveryDate,ActualDeliveryDate,ClientID,WarehouseID,ServiceID,WeightKG,VolumeCBM,Revenue_RM,Cost_RM,OnTimeDelivery,Status
SHP00001,2024-11-23,2024-11-24,2024-11-24,C003,WH001,SV01,4082.5,20.45,13960.74,10304.65,Yes,Processing
SHP00002,2024-02-27,2024-03-05,2024-03-06,C001,WH004,SV03,610.2,3.19,5787.42,4067.99,No,Delivered
SHP00003,2024-01-13,2024-01-19,2024-01-19,C003,WH003,SV01,2165.9,8.98,20676.56,12127.21,Yes,Delivered
SHP00004,2024-05-20,2024-05-22,2024-05-22,C006,WH004,SV01,3647.2,7.96,33627.73,22943.23,Yes,Delivered
SHP00005,2024-05-05,2024-05-06,2024-05-06,C005,WH001,SV05,766.1,3.99,26004.56,16158.51,Yes,Delivered
SHP00006,2024-04-24,2024-04-26,2024-04-26,C008,WH001,SV05,1649.1,9.06,16724.27,9979.1,Yes,Delivered
SHP00007,2024-03-12,2024-03-18,2024-03-18,C005,WH005,SV02,681.3,2.04,32198.82,23017.57,Yes,Delivered
SHP00008,2024-02-22,2024-02-26,2024-02-26,C008,WH002,SV02,3849.3,8.57,35002.97,22946.55,Yes,In Transit
SHP00009,2024-12-12,2024-12-15,2024-12-15,C004,WH005,SV01,1795.4,4.0,29937.66,17854.57,Yes,Delivered
SHP00010,2024-10-06,2024-10-07,2024-10-07,C005,WH001,SV01,2496.3,9.37,10717.06,8337.33,Yes,Delivered
SHP00011,2024-02-14,2024-02-16,2024-02-16,C005,WH001,SV03,2432.4,7.61,21623.01,14109.41,Yes,Delivered
SHP00012,2024-10-29,2024-11-05,2024-11-08,C002,WH004,SV01,4865.6,15.84,29926.15,22135.0,No,Delivered
SHP00013,2024-08-04,2024-08-07,2024-08-07,C006,WH004,SV06,3028.6,13.36,3129.18,2156.37,Yes,Delivered
SHP00014,2024-01-17,2024-01-22,2024-01-22,C002,WH004,SV02,3201.2,17.8,11403.16,6919.13,Yes,Delivered
